Wed Oct 19 02:42:29 UTC 2016

	 N 			 Estado 	 T.Real(sg)	T.Usuario(sg)	T.Kernel(sg)	CPU	Memoria(KB)
	          4 		 Ok 	 	 0.00 		 0.01 		 0.00 		 240% 		 1616
	          8 		 Ok 	 	 0.00 		 0.00 		 0.00 		 0% 		 1596
	         16 		 Ok 	 	 0.00 		 0.01 		 0.00 		 240% 		 1640
	         32 		 Ok 	 	 0.00 		 0.00 		 0.00 		 0% 		 1616
	         64 		 Ok 	 	 0.00 		 0.02 		 0.00 		 285% 		 1676
	        128 		 Ok 	 	 0.03 		 0.14 		 0.00 		 389% 		 1920
	        256 		 Ok 	 	 0.17 		 0.67 		 0.01 		 397% 		 2140
	        512 		 Ok 	 	 1.20 		 4.72 		 0.04 		 398% 		 4472
	       1024 		 Ok 	 	 19.63 		 78.10 		 0.26 		 399% 		 13640
